latitude,longitude,hour,safety_score,is_safe
11.329704614261042,75.74776471630494,10,95,1
26.95504095537561,80.81949300942605,5,95,1
22.441885208412355,88.31557473338606,21,79,1
21.235555945280343,79.08697607952143,11,92,1
26.840425452438616,81.04163251734438,13,95,1
22.55093077670218,88.2762197022407,13,89,1
18.958067175183213,72.86394909516355,16,46,0
11.272878163521728,75.6867381768576,11,95,1
17.500213304521903,78.56807601129543,8,95,1
13.009723676222189,80.3643293286969,1,22,0
10.056836512697584,76.38186836448041,6,88,1
28.79189615440558,77.02323976413638,1,5,0
12.984229639867873,80.15900908776308,0,22,0
22.69223651657527,88.41598243123354,10,89,1
28.655351310701104,77.45932749657825,9,95,1
26.852184679325237,80.86388348734982,17,95,1
23.119327614610057,72.51119558173906,15,67,1
13.042846846937051,77.6192137373121,22,54,1
22.828568485929576,76.00625084499785,19,84,1
13.040279495657652,77.73574109825752,6,74,1
10.062018316560923,76.21253317873148,11,88,1
12.87953912987372,77.4617287447921,12,74,1
21.179778732184026,72.96946684073025,21,67,1
26.932050150770955,75.78430250381248,19,77,1
19.135444672254373,72.99249162861366,12,46,0
23.1290203204922,72.6848129137348,12,67,1
9.874786788095072,76.19443152350908,9,88,1
21.148398572971878,72.71633432554316,1,57,1
21.266405583936265,72.74275614121697,15,77,1
11.041944730053004,77.09531221758323,16,95,1
11.160529586950766,75.68074418774196,23,75,1
22.868894257752665,75.72173137663698,20,84,1
26.8999593579819,80.9930687796562,18,85,1
21.177623136945392,72.9039364094118,3,57,1
26.84319325799833,81.03728542746539,2,75,1
28.756562578922047,77.5189663512004,10,95,1
11.152651704343794,77.03613368949411,13,95,1
13.093186770134409,77.73805908831538,21,64,1
28.613089437205012,77.52947907495624,17,95,1
22.637723375792508,88.49185722661505,0,69,1
10.95470065690918,77.04326312102086,7,95,1
26.37160896617502,80.20172886362892,21,85,1
28.630391048056918,77.57067111397227,8,95,1
25.697991313074336,85.17085583428252,13,95,1
26.517665322292906,80.39074663944271,7,95,1
28.624539315095372,77.11393829846239,15,10,0
18.606911937950656,73.72261090988016,2,66,1
25.4845455221179,85.02700929384925,22,75,1
25.488795613086726,85.1891233615388,17,95,1
26.34772304325537,80.34028831894467,21,85,1
10.063941898555857,76.31069827740846,21,78,1
12.872429345586227,77.65643842730724,8,74,1
13.110845509442283,80.16499382833936,3,22,0
11.250415105960775,75.75128994746863,20,85,1
19.072175162594313,72.75977271852284,20,36,0
22.996141137701418,72.53240368973698,19,57,1
22.829846413707802,75.88148766980105,9,94,1
10.876419051924122,76.95469376111998,23,75,1
11.332115459354117,75.68529155899853,5,95,1
11.058144682462352,76.89809498968505,17,95,1
21.12349421835898,72.94885440772322,20,67,1
28.750417303175734,77.59299073347032,16,95,1
23.034085526295005,72.6244417499095,22,47,0
26.793694000653517,75.74245337206044,13,87,1
17.463349857961827,78.44045195541683,20,85,1
13.062246034810244,80.30846604154638,16,42,0
28.824951374903083,77.01974894779023,7,10,0
26.899660752570696,75.93004072925598,7,87,1
12.923617263919283,77.53064711619174,8,74,1
21.258673799621178,79.06552917671263,12,92,1
25.56153871784946,85.24766253668275,23,75,1
26.58380351375716,80.39893119275342,11,95,1
